date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2007-08-08;75.9;102.0;0.17;0.0;0.0;4.47;200;16.11;220;19.91;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-17;73.9;97.0;0.01;0.0;0.0;6.71;30;21.03;40;27.96;Yes;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No
2007-08-19;70.0;97.0;0.0;0.0;0.0;9.84;220;17.0;210;21.03;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-08-25;75.0;99.0;0.0;0.0;0.0;8.95;220;17.0;210;21.03;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-09-10;66.9;100.9;0.0;0.0;0.0;7.16;210;16.11;230;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-28;64.0;84.9;0.0;0.0;0.0;6.49;320;16.11;340;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-29;50.0;79.0;0.0;0.0;0.0;6.71;40;19.91;20;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-09-30;48.0;80.1;0.0;0.0;0.0;6.71;50;16.11;90;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-01;53.1;82.0;0.0;0.0;0.0;6.71;80;14.09;90;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-03;63.0;84.9;0.0;0.0;0.0;3.36;70;10.07;90;14.09;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-07;64.0;90.0;0.0;0.0;0.0;1.79;170;8.05;160;10.07;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-08;64.9;93.0;0.0;0.0;0.0;1.79;180;8.05;170;12.97;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-11;51.1;69.1;0.0;0.0;0.0;7.61;300;14.99;330;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-24;70.0;78.1;1.72;0.0;0.0;6.93;210;21.03;220;25.95;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2007-10-29;37.0;61.0;0.0;0.0;0.0;4.47;50;16.11;40;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-10-30;33.1;66.9;0.0;0.0;0.0;1.12;50;8.05;140;12.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-01;53.1;78.1;0.0;0.0;0.0;4.47;40;19.91;50;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-07;30.0;55.0;0.0;0.0;0.0;3.8;40;12.97;20;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-09;34.0;61.0;0.0;0.0;0.0;4.25;210;12.08;230;14.99;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-17;28.0;60.1;0.0;0.0;0.0;4.25;230;17.0;210;23.04;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-28;32.0;57.0;0.0;0.0;0.0;4.47;120;14.99;90;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-29;36.0;63.0;0.0;0.0;0.0;3.36;260;12.08;230;14.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-11-30;32.0;57.0;0.0;0.0;0.0;2.68;50;12.97;30;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-12-08;39.9;71.1;0.0;0.0;0.0;5.37;230;14.09;100;16.11;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-12-12;55.9;79.0;0.0;0.0;0.0;8.72;240;21.92;240;25.95;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2007-12-27;36.0;57.9;0.0;0.0;0.0;3.58;220;14.09;220;16.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2007-12-29;55.0;71.1;0.13;0.0;0.0;10.74;190;27.96;190;38.03;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
